id,title,publishedAt,guest,episode,topics,tags,duration,viewCount,likeCount,commentCount
rIpUf-Vy2JA,"Joscha Bach: Nature of Reality, Dreams, and Consciousness | Lex Fridman Podcast #212",2021-08-21T23:55:50Z,Joscha Bach,212,"Nature of Reality, Dreams, and Consciousness","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,joscha bach,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",3hr 12min 22s,1553520,18626,2472
oYQh1ZNkC70,Brian Muraresku: The Secret History of Psychedelics | Lex Fridman Podcast #211,2021-08-15T01:58:16Z,Brian Muraresku,211,The Secret History of Psychedelics,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,brian muraresku,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 52min 28s,523474,13025,1577
Hc4XvHTlW3s,Matt Walker: Sleep | Lex Fridman Podcast #210,2021-08-11T13:56:36Z,Matt Walker,210,Sleep,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,matt walker,mit ai",2hr 48min 18s,347146,8739,711
ndMahzDCH1Y,Luís and João Batalha: Fermat's Library and the Art of Studying Papers | Lex Fridman Podcast #209,2021-08-09T03:16:49Z,Luís and João Batalha,209,Fermat's Library and the Art of Studying Papers,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,luís and joão batalha,mit ai",2hr 54min 53s,120537,2766,225
Z1KwkpTUbkg,Jeff Hawkins: The Thousand Brains Theory of Intelligence | Lex Fridman Podcast #208,2021-08-08T04:30:34Z,Jeff Hawkins,208,The Thousand Brains Theory of Intelligence,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,jeff hawkins,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 18min 29s,276674,5057,474
e4Bet29PVPY,Chris Duffin: The Mad Scientist of Strength | Lex Fridman Podcast #207,2021-08-03T18:17:10Z,Chris Duffin,207,The Mad Scientist of Strength,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,chris duffin,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 42min 57s,218915,5698,473
FUS6ceIvUnI,Ishan Misra: Self-Supervised Deep Learning in Computer Vision | Lex Fridman Podcast #206,2021-07-31T16:10:18Z,Ishan Misra,206,Self-Supervised Deep Learning in Computer Vision,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,ishan misra,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 30min 30s,121581,3195,230
0RTWSJAqTPg,Zach Bitter: Ultramarathon Running | Lex Fridman Podcast #205,2021-07-29T01:52:55Z,Zach Bitter,205,Ultramarathon Running,"100-mile run,agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,carnivore,competition,diet,endurance,keto,lex ai,lex fridman,lex jre,lex mit,lex podcast,marathon,maximum aerobic function,mit ai,performance,running,ultra-trail,zach bitter",3hr 1min 48s,135937,2363,216
j4_VyRDOmN4,Cumrun Vafa: String Theory | Lex Fridman Podcast #204,2021-07-26T01:14:16Z,Cumrun Vafa,204,String Theory,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,cumrun vafa,electrons,general relativity,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,multidimensional,physics,quantum gravity,quantum physics,quarks,string theory",2hr 13min 22s,307948,5654,750
ew8U43IXTfk,Anya Fernald: Regenerative Farming and the Art of Cooking Meat | Lex Fridman Podcast #203,2021-07-23T23:20:54Z,Anya Fernald,203,Regenerative Farming and the Art of Cooking Meat,"agi,agriculture,ai,ai podcast,andrew huberman,anya fernald,artificial intelligence,artificial intelligence podcast,belcampo,certified humane,ethics,farm,lex ai,lex fridman,lex jre,lex mit,lex podcast,meat,mit ai,sustainable",1hr 44min 54s,138454,4478,617
2tUiLxtrLxk,Rick Doblin: Psychedelics | Lex Fridman Podcast #202,2021-07-21T02:29:00Z,Rick Doblin,202,Psychedelics,"5-MeO-DMT,DMT,MDMA,agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,maps,mescaline,mit ai,mushrooms,psychedelic drugs,psychedelics,research,rick doblin",2hr 36min 6s,205780,6387,787
tm7poMupE8k,Konstantin Batygin: Planet 9 and the Edge of Our Solar System | Lex Fridman Podcast #201,2021-07-19T05:25:02Z,Konstantin Batygin,201,Planet 9 and the Edge of Our Solar System,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,astronomy,caltech,konstantin batygin,kuiper belt,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,oort cloud,origin of life,oumuamua,planet nine,planets,seventh season,solar system",2hr 39min 54s,2372869,22693,2230
R5rNoV1Qy_Q,Michael Malice: Totalitarianism and Anarchy | Lex Fridman Podcast #200,2021-07-15T15:40:21Z,Michael Malice,200,Totalitarianism and Anarchy,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,michael malice,mit ai",2hr 37min 21s,1905666,46346,5973
Udh22kuLebg,Roger Reaves: Smuggling Drugs for Pablo Escobar and the Medellin Cartel | Lex Fridman Podcast #199,2021-07-11T19:52:16Z,Roger Reaves,199,Smuggling Drugs for Pablo Escobar and the Medellin Cartel,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,roger reaves",2hr 9min 48s,2211161,37319,4593
-tDQ74I3Ovs,Sara Walker: The Origin of Life on Earth and Alien Worlds | Lex Fridman Podcast #198,2021-07-09T22:15:36Z,Sara Walker,198,The Origin of Life on Earth and Alien Worlds,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,sara walker",1hr 59min 28s,915443,18026,2339
n2RcVEftY48,"Jocko Willink: War, Leadership, and Discipline | Lex Fridman Podcast #197",2021-07-05T02:02:26Z,Jocko Willink,197,"War, Leadership, and Discipline","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,jocko willink,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 57min 38s,1182021,24964,3089
usDqSEKDVsA,Yeonmi Park: North Korea | Lex Fridman Podcast #196,2021-07-01T03:26:56Z,Yeonmi Park,196,North Korea,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,yeonmi park",2hr 49s,1518393,47389,5948
CGAvsmokB4c,Clara Sousa-Silva: Searching for Signs of Life on Venus and Other Planets | Lex Fridman Podcast #195,2021-06-28T01:25:07Z,Clara Sousa-Silva,195,Searching for Signs of Life on Venus and Other Planets,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,clara sousa-silva,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 58min 12s,499476,11224,2188
TG6BuSjwP4o,"Bret Weinstein: Truth, Science, and Censorship in the Time of a Pandemic | Lex Fridman Podcast #194",2021-06-25T23:35:53Z,Bret Weinstein,194,"Truth, Science, and Censorship in the Time of a Pandemic","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,bret weinstein,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",3hr 17min 10s,3137187,50728,6692
cuD9uNFXnU8,Rob Reid: The Existential Threat of Engineered Viruses and Lab Leaks | Lex Fridman Podcast #193,2021-06-21T00:31:40Z,Rob Reid,193,The Existential Threat of Engineered Viruses and Lab Leaks,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,rob reid",2hr 59min 13s,169534,4877,630
FKh8hjJNhWc,Charles Hoskinson: Cardano | Lex Fridman Podcast #192,2021-06-16T15:39:38Z,Charles Hoskinson,192,Cardano,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,charles hoskinson,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",4hr 57min 51s,755640,28272,3821
hGRNUw559SE,Daniel Schmachtenberger: Steering Civilization Away from Self-Destruction | Lex Fridman Podcast #191,2021-06-14T07:03:45Z,Daniel Schmachtenberger,191,Steering Civilization Away from Self-Destruction,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,daniel schmachtenberger,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",4hr 15min 20s,490316,12264,2056
tueAcSiiqYA,Jordan Ellenberg: Mathematics of High-Dimensional Shapes and Geometries | Lex Fridman Podcast #190,2021-06-13T03:13:13Z,Jordan Ellenberg,190,Mathematics of High-Dimensional Shapes and Geometries,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,jordan ellenberg,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 41min 48s,195547,4255,399
jhKZIq3SlYE,David Sinclair: Extending the Human Lifespan Beyond 100 Years | Lex Fridman Podcast #189,2021-06-07T01:19:34Z,David Sinclair,189,Extending the Human Lifespan Beyond 100 Years,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,david sinclair,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 41min 34s,596292,18421,1918
XW0QZmtbjvs,Vitalik Buterin: Ethereum 2.0 | Lex Fridman Podcast #188,2021-06-03T21:07:24Z,Vitalik Buterin,188,Ethereum 2.0,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,vitalik buterin",3hr 2min 1s,4615477,67555,7184
LDTe8uFqbws,"Frank Wilczek: Physics of Quarks, Dark Matter, Complexity, Life & Aliens | Lex Fridman Podcast #187",2021-05-29T22:26:51Z,Frank Wilczek,187,"Physics of Quarks, Dark Matter, Complexity, Life & Aliens","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,frank wilczek,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 22min 21s,861147,10507,1293
1YbcB6b4A2U,Bryan Johnson: Kernel Brain-Computer Interfaces | Lex Fridman Podcast #186,2021-05-24T09:56:29Z,Bryan Johnson,186,Kernel Brain-Computer Interfaces,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,bryan johnson,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",2hr 31min 30s,351235,8680,854
4dC_nRYIDZU,"Sam Harris: Consciousness, Free Will, Psychedelics, AI, UFOs, and Meaning | Lex Fridman Podcast #185",2021-05-20T18:57:03Z,Sam Harris,185,"Consciousness, Free Will, Psychedelics, AI, UFOs, and Meaning","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,sam harris",3hr 17min 20s,5518717,61358,8946
85F0FDsPHf8,"Katherine de Kleer: Planets, Moons, Asteroids & Life in Our Solar System | Lex Fridman Podcast #184",2021-05-17T09:42:08Z,Katherine de Kleer,184,"Planets, Moons, Asteroids & Life in Our Solar System","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,katherine de kleer,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai",1hr 56min 54s,535725,9673,1160
6z1JwZbX4dQ,"Po-Shen Loh: Mathematics, Math Olympiad, Combinatorics & Contact Tracing | Lex Fridman Podcast #183",2021-05-14T22:36:59Z,Po-Shen Loh,183,"Mathematics, Math Olympiad, Combinatorics & Contact Tracing","math,math olympiad,lex math,lex podcast",2hr 20min 15s,233476,6187,406
